id,domain,question,old_cola,new_cola,decision,manual_snippet
30,Calibration & Verification,Precision verification (EP15 or equivalent) performed before any new method placed into service?,COLA CAL 10,CA 4,remapped,nstrument operator’s manual. CA 4 R Does the calibration procedure use calibration materials that are traceable to a National Institute of Standards and Technology (NIST) standard? Most standards whic
31,Calibration & Verification,Reportable range verified and documented for each test system?,COLA CAL 11,VER 7,remapped,ned upon repetitive testing. VER 7 R Reportable range? The range is from the value of the minimum calibrator to the value of the maximum calibrator. The range is from the lowest to highest value for w
32,Calibration & Verification,Accuracy verification (bias study) performed and documented for each new test method?,COLA CAL 12,CA 5,remapped,"OLA ACCREDITATION PROGRAM CA 5 R Do you perform calibration verification whenever a new lot number or a complete change of reagents occurs, unless it can be shown that such changes do not affect test "
33,Calibration & Verification,Waived tests excluded from calibration verification requirement (not performing unnecessary studies)?,COLA CAL 13,VER 8,remapped,ns beyond the maximum range. VER 8 R Reference range? The range of values expected for a given population. © 2013 COLA | PHONE 800.981.9883 | FAX 410.381.8611 | EMAIL info@cola.org | WEB www.cola.org 
34,Calibration & Verification,Calibration verification records retained for minimum 2 years (10 years for immunohematology)?,COLA REC 1,QA 5,remapped,COLA ACCREDITATION PROGRAM QA 5 R Is the information obtained during a quality assessment review shared with the laboratory staff and other individuals as appropriate and is this recorded? The directo
35,Calibration & Verification,Calibration verification sign-off date (not data collection date) used to calculate next due date?,COLA CAL 14,VER 9,remapped,COLA ACCREDITATION PROGRAM VER 9 R Analytical sensitivity? The lowest level at which a test method can detect the analyte in a specimen being tested. VER 10 R Analytical specificity including evaluati
36,Calibration & Verification,Instruments with factory-locked calibration documented as exempt from calibration verification?,COLA CAL 15,VER 10,remapped," in a specimen being tested. VER 10 R Analytical specificity including evaluation of potential interfering substances? Analytic specificity is the ability of any test to be substance-specific, measuri"
37,Calibration & Verification,"Materials used for calibration verification have documented true values (calibrators, PT samples, or QC material)?",COLA CAL 16,PT 1,remapped," ORG 16, 17, 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHONE 800.981.98"
38,Calibration & Verification,Calibration verification schedule maintained with next-due dates for all applicable instruments?,COLA CAL 17,VER 11,remapped," you do not want to measure. VER 11 R Any other performance characteristics required for test performance including linearity? C) Applicable to All Non-Waived Methods Prior to patient testing, have ea"
39,Proficiency Testing,Laboratory enrolled in approved PT program for all regulated analytes?,COLA PT 2,PT 2,remapped,"OLA if you have not done so. PT 2 E For each regulated analyte tested in your laboratory, do you perform and report PT results to the PT program for all events, unless you have been granted an exempti"
40,Proficiency Testing,"PT samples handled identically to patient samples (same personnel, reagents, instrumentation)?",COLA PT 3,PT 3,remapped," proficiency testing events. PT 3 E If your laboratory tests any regulated analyte(s) for which compatible proficiency testing samples are not offered by a COLA-approved PT program, do you perform and"
41,Proficiency Testing,PT results submitted on time for each testing event?,COLA PT 4,PT 4,remapped,"COLA ACCREDITATION PROGRAM PT 4 R For each unregulated analyte tested in your laboratory that you have not enrolled in a COLA-approved PT program, do you perform and compare the results of external sp"
42,Proficiency Testing,PT results reviewed by laboratory director or designee and documented?,COLA PT 5,PT 5,remapped,"— “Split Specimen Analysis.” PT 5 R Do you follow the same procedures for testing PT samples as you do for patient samples? PT specimens should be treated just like patient specimens—e.g., if a patien"
43,Proficiency Testing,Unsuccessful PT performance triggers root cause analysis within 30 days?,COLA PT 6,QA 6,remapped,"se. PRE-ANALYTIC ASSESSMENTS QA 6 R Does the quality assessment review evaluate the laboratory’s processes for patient preparation, and for specimen collection, handling, labeling, transport, and acce"
44,Proficiency Testing,PT records retained for minimum 2 years?,COLA REC 2,QA 7,remapped,"ersonnel are following them. QA 7 R Are quality assessment reviews performed to assess requisitions for completeness and relevance of content, including inconsistencies of age, gender, and, when avail"
45,Proficiency Testing,No communication with other laboratories about PT samples before deadline?,COLA PT 7,PT 6,remapped,"ct grading in final reports. PT 6 E Does your laboratory policy prohibit communication with another laboratory to discuss PT results, for both regulated and unregulated analytes, prior to the cut-off "
46,Proficiency Testing,Alternative performance assessment (APA) in place for analytes without approved PT program?,COLA PT 8,PT 7,remapped,"test results for that event. PT 7 E Does your laboratory policy prohibit sending any PT samples to another laboratory for analysis? This includes PT for regulated, unregulated, waived, and non-waived "
47,Proficiency Testing,PT enrollment certificates current and on file for all PT programs?,COLA PT 9,PT 8,remapped,ss of your CLIA certificate. PT 8 R Are all PT results reviewed and evaluated by the laboratory director or other qualified designee in a timely manner? Be sure to document this review by dating and i
48,Proficiency Testing,Corrective action documented when PT score falls below acceptable threshold (80%)?,COLA PT 10,PT 9,remapped,"COLA ACCREDITATION PROGRAM PT 9 E When PT results are unsatisfactory, do you evaluate the results and take appropriate corrective action? For most tests, unsatisfactory performance is defined as a sco"
49,Proficiency Testing,PT results compared between all instruments performing the same test?,COLA PT 11,PT 10,remapped,"ce (see COLA criterion PT 10) and to take corrective action when needed. Review, approve, initial, and date all PT failure investigations conducted by your staff. • Retain documentation of all PT act"
50,Proficiency Testing,Personnel performing PT testing are the same staff who routinely perform patient testing?,COLA PT 12,PT 11,remapped,"COLA ACCREDITATION PROGRAM PT 11 R When graded PT results are unsuccessful, do you seek consultation to remedy the causes of failure, and/or undertake additional training of personnel if this is the c"
51,Proficiency Testing,Trend analysis performed on PT scores over time to identify declining performance?,COLA PT 13,PT 12,remapped, two out of three PT events. PT 12 E Do you cease patient testing for specified analytes when required by COLA until you have successfully completed the reinstatement process? Does your PT record keep
52,Proficiency Testing,PT samples tested in the same manner and time frame as patient samples (not held)?,COLA PT 14,PT 13,remapped,"r PT record keeping include: (PT 13-18) Check the PT records for each of these elements. If the laboratory is a new start-up and has not performed PT as yet, mark PT 13-18 as N/A. PT 13 R How the PT s"
53,Proficiency Testing,Laboratory has documented process for handling and storing PT materials prior to testing?,COLA PT 15,PT 14,remapped,"ed, processed, and reported? PT 14 R All PT test records, such as instrument tapes and logs? PT 15 R A copy of the attestation form signed by the director and the testing personnel? PT 16 R An indicat"
54,Personnel & Competency,Personnel files maintained for all laboratory staff with current licensure/certification on file?,COLA PER 1,PER 1,remapped,sment procedures PERSONNEL PER 1 R Is there a written job description for each employee that describes individual duties and responsibilities? A written job description aids employees in understanding
55,Personnel & Competency,Laboratory director meets CLIA qualification requirements for the complexity level performed?,COLA PER 2,PER 2,remapped," ORG 16, 17, 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHON"
56,Personnel & Competency,Technical supervisor qualifications meet CLIA requirements for high-complexity testing (if applicable)?,COLA PER 3,PER 3,remapped,more stringent requirements. PER 3 R Does the personnel file contain documentation of the person’s education and experience that qualifies them for the position they hold in the laboratory? CLIA speci
57,Personnel & Competency,Testing personnel qualifications documented and meet CLIA requirements for complexity level performed?,COLA PER 4,PER 4,remapped,COLA ACCREDITATION PROGRAM PER 4 E Does each laboratory employee adequately fulfill the responsibilities for the position(s) they hold? For detailed information on Laboratory Director Responsibilities
58,Personnel & Competency,Initial competency assessment completed for all new testing personnel before unsupervised patient testing?,COLA PER 5,PER 5,remapped,nnel for Nonwaived Testing.” PER 5 R Does your director or Technical Supervisor/Technical Consultant follow written policies and procedures to periodically evaluate personnel performance and competenc
59,Personnel & Competency,Annual competency assessment completed for all testing personnel?,COLA PER 6,PER 6,remapped,t of problem solving skills. PER 6 R Do the personnel reviews include the person’s continuing education? COLA believes that continuing education is essential for competent laboratory staff. © 2013 COL
60,Personnel & Competency,"Competency assessment includes all 6 required CLIA methods (direct observation, monitoring records, PT, problem-solving, maintenance, test reporting)?",COLA PER 7,PER 1,remapped,sment procedures PERSONNEL PER 1 R Is there a written job description for each employee that describes individual duties and responsibilities? A written job description aids employees in understanding
61,Personnel & Competency,Competency assessment records signed by laboratory director or designee?,COLA PER 8,PER 2,remapped," ORG 16, 17, 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHON"
62,Personnel & Competency,Remedial training documented and re-assessment performed when competency deficiencies identified?,COLA PER 9,PER 3,remapped,more stringent requirements. PER 3 R Does the personnel file contain documentation of the person’s education and experience that qualifies them for the position they hold in the laboratory? CLIA speci
63,Personnel & Competency,Personnel performing testing on infrequently performed tests have documented concurrent QC requirement?,COLA PER 10,PER 4,remapped,COLA ACCREDITATION PROGRAM PER 4 E Does each laboratory employee adequately fulfill the responsibilities for the position(s) they hold? For detailed information on Laboratory Director Responsibilities
64,Personnel & Competency,Laboratory director attestation on file confirming review of staff qualifications?,COLA PER 11,PER 5,remapped,nnel for Nonwaived Testing.” PER 5 R Does your director or Technical Supervisor/Technical Consultant follow written policies and procedures to periodically evaluate personnel performance and competenc
65,Personnel & Competency,Job descriptions current and signed for all laboratory positions?,COLA PER 12,PER 6,remapped,t of problem solving skills. PER 6 R Do the personnel reviews include the person’s continuing education? COLA believes that continuing education is essential for competent laboratory staff. © 2013 COL
66,Personnel & Competency,Training records maintained for all laboratory safety and regulatory training?,COLA PER 13,PER 1,remapped,sment procedures PERSONNEL PER 1 R Is there a written job description for each employee that describes individual duties and responsibilities? A written job description aids employees in understanding
67,Personnel & Competency,Delegation of authority documented when director is unavailable?,COLA PER 14,PER 2,remapped," ORG 16, 17, 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHON"
68,Personnel & Competency,Personnel demonstrate knowledge of QC rules applicable to their assigned instruments?,COLA PER 15,PER 3,remapped,more stringent requirements. PER 3 R Does the personnel file contain documentation of the person’s education and experience that qualifies them for the position they hold in the laboratory? CLIA speci
69,Personnel & Competency,"Staff training documented for any new test, instrument, or procedure before patient testing?",COLA PER 16,PER 4,remapped,COLA ACCREDITATION PROGRAM PER 4 E Does each laboratory employee adequately fulfill the responsibilities for the position(s) they hold? For detailed information on Laboratory Director Responsibilities
70,Personnel & Competency,Current staff roster maintained with testing privileges documented?,COLA PER 17,PER 5,remapped,nnel for Nonwaived Testing.” PER 5 R Does your director or Technical Supervisor/Technical Consultant follow written policies and procedures to periodically evaluate personnel performance and competenc
71,Personnel & Competency,State licensure requirements for laboratory personnel verified and current (if applicable)?,COLA PER 18,PER 6,remapped,t of problem solving skills. PER 6 R Do the personnel reviews include the person’s continuing education? COLA believes that continuing education is essential for competent laboratory staff. © 2013 COL
72,Personnel & Competency,Continuing education records maintained for applicable personnel?,COLA PER 19,PER 1,remapped,sment procedures PERSONNEL PER 1 R Is there a written job description for each employee that describes individual duties and responsibilities? A written job description aids employees in understanding
73,Personnel & Competency,Medical laboratory director physically present or accessible by phone/telecom during all operating hours?,COLA PER 20,PER 2,remapped," ORG 16, 17, 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHON"
74,Test Management & Procedures,"Written SOPs exist for every test performed, including pre-analytic, analytic, and post-analytic steps?",COLA TM 3,APM 3,remapped,ual) on specimen collection. APM 3 (PRE) R Written instructions for the collection and storage of specimens that a patient would collect themselves? APM 4 (PRE) R Criteria for specimen acceptability a
75,Test Management & Procedures,"SOPs reviewed, approved, and signed by laboratory director or designee at least every 2 years?",COLA TM 4,APM 4,remapped,nt would collect themselves? APM 4 (PRE) R Criteria for specimen acceptability and rejection of unacceptable specimen? APM 5 (PRE) R Instructions for patient and physician notification if a specimen i
76,Test Management & Procedures,SOPs accessible to all testing personnel at point of use?,COLA TM 5,APM 5,remapped,"on of unacceptable specimen? APM 5 (PRE) R Instructions for patient and physician notification if a specimen is unacceptable? When a specimen is unacceptable, the laboratory should document the reason"
77,Test Management & Procedures,Discontinued SOPs retained for minimum 2 years after the date of discontinuance?,COLA REC 3,APM 6,remapped,"ality of laboratory results. APM 6 R Directions for preparing and storing reagents, solutions, stains, standards and controls? The directions for preparation should describe the concentration, strengt"
78,Test Management & Procedures,CLIA test complexity certificates match the complexity level of all tests being performed?,COLA LD 1,ORG 1,remapped,COLA ACCREDITATION PROGRAM ORG 1 E Does your laboratory have the appropriate CLIA certificate and/or state license required based on the complexity of testing performed and is the certificate and lice
79,Test Management & Procedures,"Test requisition system captures required elements (patient ID, ordering provider, test ordered, date/time)?",COLA TM 6,PRE 1,remapped,"m or kept as separate forms. PRE 1 E Are all specimens accompanied by a requisition? Test requisitions, testing records, and test reports are all required documents for a complete Patient Test Managem"
80,Test Management & Procedures,"Laboratory reports include required elements (patient ID, test name, result, units, reference range, interpretation if applicable)?",COLA TM 7,APM 7,remapped,"COLA ACCREDITATION PROGRAM APM 7 R Directions for calibration or standardization, calibration verification and corrective action for failures? Directions for calibration and calibration verification p"
81,Test Management & Procedures,"Patient result records retained for minimum 2 years (5 years for cytology, 10 years for immunohematology)?",COLA REC 4,QA 8,remapped,s retention of requisitions. QA 8 R Are all communication breakdowns between physicians (or other persons authorized to order tests) and laboratory personnel recorded and are corrective actions docume
82,Test Management & Procedures,Specimen labeling policy documented with minimum required identifiers?,COLA TM 8,APM 8,remapped,erification is unacceptable. APM 8 R Control procedures and criteria defining unacceptable control results? APM 9 R Corrective actions to take when control or calibration limits are exceeded? APM 10 R
83,Test Management & Procedures,Specimen collection procedures documented with required pre-analytic instructions for each test type?,COLA TM 9,PRE 2,remapped,"lable at the time of survey. PRE 2R If an oral request for a test has been made, is it followed with a written requisition within 30 days? This includes in-house ordering, but the requisition may be t"
84,Test Management & Procedures,Panic value notification documented with required read-back confirmation for each occurrence?,COLA TM 10,APM 9,remapped,nacceptable control results? APM 9 R Corrective actions to take when control or calibration limits are exceeded? APM 10 R Step-by-step directions for performing the tests? APM 11 R Directions for micr
85,Test Management & Procedures,LDTs (laboratory developed tests) validated per CLIA requirements with full validation documentation on file?,COLA TM 11,APM 10,remapped,bration limits are exceeded? APM 10 R Step-by-step directions for performing the tests? APM 11 R Directions for microscopic examinations? APM 12 R Criteria for adequately prepared slides? APM 13 R Dir
86,Test Management & Procedures,Package inserts current and accessible for all kit-based tests?,COLA TM 12,APM 11,remapped,ns for performing the tests? APM 11 R Directions for microscopic examinations? APM 12 R Criteria for adequately prepared slides? APM 13 R Directions for calculations or interpretation of test results?
87,Test Management & Procedures,Reflex testing criteria and authorization documented in policy?,COLA TM 13,APM 12,remapped,"or microscopic examinations? APM 12 R Criteria for adequately prepared slides? APM 13 R Directions for calculations or interpretation of test results? APM 14 R Derivation of test result, i.e., by dire"
88,Test Management & Procedures,STAT vs. routine TAT goals defined for all test types and monitored?,COLA TM 14,APM 13,remapped," adequately prepared slides? APM 13 R Directions for calculations or interpretation of test results? APM 14 R Derivation of test result, i.e., by direct readout, calibration curve, calculation from a "
89,Test Management & Procedures,Reportable range (AMR) documented and verified for all quantitative tests?,COLA TM 15,VER 12,remapped,after 4/24/2003. (VER 1-4 and VER 12). Verification ensures that the test system is operating according to expected performance standards and is capable of producing accurate and reliable results. Key
90,Test Management & Procedures,Biotin interference policy in place for immunoassay testing with patient notification procedure?,COLA TM 16,APM 14,remapped,"erpretation of test results? APM 14 R Derivation of test result, i.e., by direct readout, calibration curve, calculation from a standard, etc.? APM 15 (PST) R Reference ranges, reportable ranges, and "
91,Test Management & Procedures,Interface validation documented between LIS and instruments to confirm result transmission accuracy?,COLA TM 17,APM 15,remapped,"ation from a standard, etc.? APM 15 (PST) R Reference ranges, reportable ranges, and critical values, and when to immediately notify the physician of critical values? Miscommunication can be a signifi"
92,Equipment & Maintenance,Preventive maintenance performed per manufacturer's schedule for all instruments?,COLA EQ 1,MA 1,remapped,paration and expiration. (See MA 1). © 2013 COLA | PHONE 800.981.9883 | FAX 410.381.8611 | EMAIL info@cola.org | WEB www.cola.org | ISODOC 53-16 81 
93,Equipment & Maintenance,"Maintenance records document completion date, performed by, and results for all scheduled maintenance?",COLA EQ 2,MA 2,remapped," and titer where applicable. MA 2 R Are specimens, reagents, standards, and controls stored as directed by their manufacturer or other reliable source such as a laboratory textbook? © 2013 COLA | PHON"
94,Equipment & Maintenance,"Temperature monitoring logs current for all temperature-sensitive storage (refrigerators, freezers, incubators)?",COLA EQ 3,MA 3,remapped,"COLA ACCREDITATION PROGRAM MA 3 R Are reagents included in a kit only used with each other (i.e., not interchanged with another kit with a different lot number or a different manufacturer’s kit) unles"
95,Equipment & Maintenance,Temperature excursion corrective action documented with patient impact assessment?,COLA EQ 4,MA 4,remapped,"hould never be interchanged. MA 4 R Are reagents, controls, standards, calibrators, kits, and media properly discarded when they exceed their expiration dates? MA 5 R Is reagent grade, deionized, or d"
96,Equipment & Maintenance,Instrument function checks performed at frequency specified in manufacturer documentation?,COLA EQ 5,MA 5,remapped,"ceed their expiration dates? MA 5 R Is reagent grade, deionized, or distilled water available for use if recommended by the manufacturer of test kits, systems, or instruments? Check test package inser"
97,Equipment & Maintenance,Equipment repair records maintained with documentation of validation testing after repair?,COLA EQ 6,MA 6,remapped,"l to learn this information. MA 6 R If your laboratory’s instrumentation is affected by humidity, is the humidity in the laboratory monitored and corrective action taken if it exceeds the manufacturer"
98,Equipment & Maintenance,"Water quality monitoring performed and documented for applicable instruments (deionized, distilled)?",COLA EQ 7,MA 7,remapped,ocumented when out of range? (MA 7-13) Each day of testing temperatures should be recorded. When the temperature is outside of the established range corrective action should be taken to ensure the int
99,Equipment & Maintenance,Reagent and supply lot numbers documented with acceptance testing records before use?,COLA EQ 8,MA 8,remapped,cted. MA 7 R Refrigerators? MA 8 R Freezers? Remember to record temperatures of refrigerators and freezers any time reagents or specimens are stored in them. © 2013 COLA | PHONE 800.981.9883 | FAX 410
100,Equipment & Maintenance,Reagent storage conditions monitored and documented per manufacturer requirements?,COLA EQ 9,MA 9,remapped,COLA ACCREDITATION PROGRAM MA 9 R Room temperature? MA 10 R Incubators? MA 11 R Water baths? MA 12 R Dry baths? MA 13 R Temperature dependent equipment? Some instruments have internal temperature moni
101,Equipment & Maintenance,Out-of-service instruments documented with patient result review and corrective action?,COLA EQ 10,MA 10,remapped, MA 9 R Room temperature? MA 10 R Incubators? MA 11 R Water baths? MA 12 R Dry baths? MA 13 R Temperature dependent equipment? Some instruments have internal temperature monitoring devices that either
102,Equipment & Maintenance,Pipette and volumetric equipment calibration documented at required intervals?,COLA EQ 11,MA 11,remapped,rature? MA 10 R Incubators? MA 11 R Water baths? MA 12 R Dry baths? MA 13 R Temperature dependent equipment? Some instruments have internal temperature monitoring devices that either refuse to let you
103,Equipment & Maintenance,Centrifuge speed and timer verified at required intervals?,COLA EQ 12,MA 12,remapped,ators? MA 11 R Water baths? MA 12 R Dry baths? MA 13 R Temperature dependent equipment? Some instruments have internal temperature monitoring devices that either refuse to let you perform testing or w
104,Equipment & Maintenance,Reagent expiration dates checked and documented before use?,COLA EQ 13,MA 13,remapped,r baths? MA 12 R Dry baths? MA 13 R Temperature dependent equipment? Some instruments have internal temperature monitoring devices that either refuse to let you perform testing or will not pass the in
105,Equipment & Maintenance,New reagent lot acceptance testing performed before patient use?,COLA EQ 14,MA 14,remapped, instrument function checks. MA 14 R Have acceptable ranges for temperature been established for each of the above? An acceptable range should be established for the above temperature checks by consul
106,Equipment & Maintenance,Instrument downtime log maintained with escalation process for extended outages?,COLA EQ 15,MA 15,remapped," 18; PER 2, 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHONE 800.981.9883 | FAX 410."
107,Safety & Environment,Written exposure control plan for bloodborne pathogens current and accessible?,COLA SAF 1,FAC 1,remapped,"y safety practices. FACILITY FAC 1 R Does your laboratory have adequate space, ventilation, and utilities necessary for conducting all phases of the testing process in order that patient care is not c"
